model,phase,roc_auc_mean,roc_auc_std,f1_mean,f1_std,recall_mean,recall_std,precision_mean,precision_std,accuracy_mean,accuracy_std,elapsed_s,note
Random Forest (n=100),classical_ml,0.9470286876420777,0.00044501593790632476,0.865857417669465,0.0006931949758077373,0.8590460736615018,0.001110241077889817,0.8727788227416176,0.0008526269387718622,0.880663492063492,0.0005970153362062267,49.3,
Random Forest (n=300),classical_ml,0.9479764371420462,0.0004385756145757723,0.8668166738242951,0.0007333901118387452,0.8608587582425203,0.0013552678238567392,0.8728594783510012,0.0008941299568710612,0.8813984126984128,0.0006125709218455996,178.9,
Extra Trees (n=100),classical_ml,0.9446869345500817,0.0005065282280013392,0.8620118917356061,0.0006638661440517349,0.8559836237705667,0.0016918154585586446,0.8681286478832633,0.0007106341626505649,0.8771349206349207,0.00047041470797635387,54.9,
Extra Trees (n=300),classical_ml,0.9456669614584865,0.0004886193760679814,0.8631670922760598,0.0007128835103543939,0.8581786733400423,0.0014044971357124257,0.8682155889876177,0.0007145206611319139,0.8780142857142857,0.0005697815771007604,165.5,
HistGradientBoosting (default),classical_ml,0.9547178133012771,0.00039822561776311534,0.8739111171581093,0.000980937830253712,0.8672845842103648,0.0018888148208008855,0.8806426024282139,0.0008991764181232563,0.8877968253968254,0.0007885167273924427,11.2,
HistGradientBoosting (lr=0.05),classical_ml,0.954981496890874,0.0004061024456183355,0.8743127698854376,0.0008518365627171264,0.867475765733165,0.0017008265252471113,0.8812604036933631,0.0004724847683137808,0.8881809523809524,0.0006590532770347795,24.7,
AdaBoost (n=100),classical_ml,0.9542718816564987,0.00043085663153156193,0.8728146031021684,0.0011442088804889592,0.8610888856514205,0.002147108156243978,0.8848669480232421,0.0005299004841814607,0.8874888888888888,0.0008902285822739148,20.1,
AdaBoost (n=200),classical_ml,0.9543783766769431,0.00043689539789420936,0.8728238208725794,0.0010463122119345018,0.8606498760383549,0.002066667690554033,0.8853498211239295,0.00021499023711174197,0.8875555555555555,0.0007931109274941811,48.5,
Bagging (DT base),classical_ml,0.936225000623911,0.0008784750937835417,0.8463099607653355,0.002640577433299547,0.8345075737723432,0.006014467379485213,0.8584823536954527,0.0013591029592676831,0.8641222222222222,0.0017864908364423075,37.3,
SVM (Linear),classical_ml,0.950024553839334,0.003453626100298877,0.8646410115556868,0.005064308006189329,0.8519793374196032,0.004738031131518209,,,0.8804399999999999,0.004634479474547285,0.2,sample=50K
"SVM (RBF, C=1)",classical_ml,0.9373145029967047,0.003376636414234794,0.8648059194618654,0.005207710030905587,0.8555045792533121,0.0022807571101932296,0.8743423927117021,0.008778177172338888,0.8801,0.005100980297942746,135.8,sample=50K
"SVM (RBF, C=10)",classical_ml,0.9285267571731921,0.0034534155144556647,0.8606552954546467,0.005592124423501779,0.8510867392802632,0.0026654352371094027,0.8704858161175066,0.009778590117593034,0.87646,0.005520362306950495,253.5,sample=50K
"SVM (Poly, d=3)",classical_ml,0.9352244965480372,0.0037160399106589332,0.8633835009107763,0.004041285024898316,0.8495248070563391,0.0030840060697523135,0.8777186377201307,0.006206037591539897,0.8795,0.0038173289090671957,107.9,sample=50K
LDA,classical_ml,0.9489829935087173,0.00032644745336732843,0.8611609026513785,0.0008631684519198241,0.838929520725771,0.001726843659263127,0.8846048514155467,0.00033491432566583475,0.878720634920635,0.000632164653516746,0.9,
QDA,classical_ml,0.9352293077298721,0.00043797759123672926,0.8540842944836939,0.0006774950035800249,0.8614287642414673,0.0011178669495837473,0.8468670383911812,0.0015102325197278023,0.8680349206349207,0.0006979543950836249,1.1,
QDA (reg=0.1),classical_ml,0.9382139322943873,0.0004310676901725727,0.8563860653546052,0.0007254107261568056,0.8555764829046957,0.0012156159160425025,0.8571996197103985,0.001289288749204493,0.8713460317460318,0.0006760414173586894,1.1,
